Iteration, Processing_Time, Distance, Area, LoopClosures, Current Error 
116, 87.103, 34.2878, 129.403, 0, 0.71989
117, 99.176, 34.5489, 129.403, 0, 0.766692
118, 99.661, 34.8777, 129.87, 0, 0.764295
119, 94.029, 35.0777, 129.743, 0, 0.740008
120, 100.245, 35.3527, 130.07, 0, 0.739481
121, 92.015, 35.6777, 129.94, 0, 0.743576
122, 102.228, 35.9527, 129.885, 0, 0.744841
123, 104.998, 36.2277, 130.44, 0, 0.75246
124, 82.237, 36.5527, 130.438, 0, 0.749518
125, 79.128, 36.7527, 130.438, 0, 0.747729
126, 102.618, 37.0537, 130.438, 0, 0.754963
127, 82.074, 37.305, 130.435, 0, 0.758407
128, 100.383, 37.555, 130.433, 0, 0.776937
129, 99.216, 37.8311, 130.433, 0, 0.790147
130, 106.687, 38.1072, 130.433, 0, 0.759164
131, 98.302, 38.4114, 130.433, 0, 0.813445
132, 81.349, 38.6864, 130.433, 0, 0.757824
133, 100.995, 38.9364, 130.433, 0, 0.779203
134, 99.006, 39.2114, 130.433, 0, 0.784785
135, 98.393, 39.4864, 130.808, 0, 0.784625
136, 81.495, 39.7364, 130.808, 0, 0.787564
137, 92.766, 40.5803, 130.858, 3, 0.0659089
138, 74.325, 40.5803, 130.858, 3, 0.314468
139, 110.582, 41.019, 130.858, 3, 0.367829
140, 92.021, 41.2748, 130.715, 4, 0.334247
141, 75.15, 41.5315, 130.703, 5, 0.155472
142, 93.986, 41.8471, 130.718, 6, 0.104877
143, 93.124, 42.0775, 130.718, 6, 0.0538687
144, 82.297, 42.3786, 130.718, 6, 0.0750676
145, 97.24, 42.5786, 130.715, 6, 0.0517619
146, 90.314, 42.8796, 130.715, 6, 0.0784901
147, 93.908, 43.1807, 130.713, 6, 0.0664031
148, 75.631, 43.5057, 130.71, 6, 0.0983517
149, 99.725, 43.7557, 130.71, 6, 0.0281665
150, 87.408, 44.1438, 130.708, 6, 0.158676
151, 102.655, 44.1688, 130.708, 6, 0.243194
152, 105.941, 44.1938, 130.708, 6, 0.250006
153, 106.943, 44.4788, 130.71, 6, 0.0119843
